과목명,과목구분,운영학과,강의시간,교수명,성적평가방식,수업형태
미래설계상담1,전공(기초),공과대학 인공지능학과,,김종익,PASS/FAIL,가상강의(보조강의)
이산수학,전공(기초),공과대학 인공지능학과,"화13:00~15:00(공5405), 목14:00~15:00(공5405)",김종익,GRADE,가상강의(보조강의)
컴퓨터프로그래밍 1,전공(기초),공과대학 인공지능학과,"월16:00~18:00(공5413), 목15:00~17:00(공5404)",장경선,GRADE,가상강의(보조강의)
컴퓨터프로그래밍 1,전공(기초),공과대학 인공지능학과,"목10:00~12:00(융합201), 금14:00~16:00(산학연0210)",최병하,GRADE,가상강의(보조강의)
컴퓨터프로그래밍 1,전공(기초),공과대학 인공지능학과,"목10:00~12:00(융합301), 금10:00~12:00(산학연0210)",염희균,GRADE,가상강의(보조강의)
대학생활과 진로설계,교양(소양필수),공과대학 인공지능학과,목13:00~14:00(공5405),김종익,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),공과대학 인공지능학과,,김종익,PASS/FAIL,가상강의(보조강의)
확률 및 통계,전공(핵심),공과대학 인공지능학과,수09:00~12:00(공5411),권진근,GRADE,가상강의(보조강의)
자료구조,전공(기초),공과대학 인공지능학과,"월16:00~18:00(공5415), 금14:00~16:00(공5411)",박종현,GRADE,가상강의(보조강의)
기초프로젝트랩,전공(핵심),공과대학 인공지능학과,"수15:00~18:00(공5411), 목19:00~22:00(공5411)",김재정,GRADE,가상강의(보조강의)
컴퓨터프로그래밍 3,전공(심화),공과대학 인공지능학과,"화15:00~17:00(공5415), 목13:00~15:00(공5404)",김형기,GRADE,가상강의(보조강의)
컴퓨터구조,전공(핵심),공과대학 인공지능학과,"월15:00~16:00(공5411), 금10:00~12:00(공5411)",김형식,GRADE,가상강의(보조강의)
AI 데이터 표현과 모델링,전공(기초),공과대학 인공지능학과,"월10:00~12:00(공5411), 화17:00~19:00(공5415)",박지훈,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),공과대학 인공지능학과,,김종익,PASS/FAIL,가상강의(보조강의)
컴퓨터네트워크,전공(핵심),공과대학 인공지능학과,"월10:00~12:00(공5401), 수10:00~12:00(공5413)",김기일,GRADE,가상강의(보조강의)
영상처리,전공(핵심),공과대학 인공지능학과,"목15:00~17:00(공5411), 금09:00~11:00(공5416)",고영준,GRADE,가상강의(보조강의)
데이터베이스,전공(핵심),공과대학 인공지능학과,"수14:00~16:00(공5404), 금14:00~16:00(공5416)",유정연,GRADE,가상강의(보조강의)
임베디드소프트웨어,전공(심화),공과대학 인공지능학과,"화15:00~17:00(공5401), 수16:00~18:00(공5416)",김형신,GRADE,가상강의(보조강의)
딥러닝,전공(핵심),공과대학 인공지능학과,목10:00~13:00(공5405),박지훈,GRADE,가상강의(보조강의)
자연어처리,전공(심화),공과대학 인공지능학과,"월14:00~16:00(공5416), 화10:00~12:00(공5401)",정상근,GRADE,가상강의(보조강의)
미래설계상담7,전공(기초),공과대학 인공지능학과,,김종익,PASS/FAIL,가상강의(보조강의)
바이오-AI융합1,전공(심화),공과대학 인공지능학과,수10:00~13:00(공5401),김상묵,GRADE,가상강의(보조강의)
최신 AI 특강 1,전공(심화),공과대학 인공지능학과,목10:00~13:00(공5401),권진근,GRADE,가상강의(보조강의)
로봇 AI,전공(심화),공과대학 인공지능학과,목14:00~17:00(공5401),김현,GRADE,가상강의(보조강의)
AI시스템설계,전공(심화),공과대학 인공지능학과,수15:00~18:00(공5401),양희철,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),공과대학 전자공학과,,안재혁,PASS/FAIL,가상강의(보조강의)
창의적공학설계,전공(기초),공과대학 전자공학과,"월09:00~11:00(공2401-A), 월11:00~13:00(공2401-A)",이용우,GRADE,가상강의(보조강의)
컴퓨터프로그래밍 1,전공(기초),공과대학 전자공학과,"월14:00~16:00(공2401-A), 화13:00~15:00(공2474)",김대우,GRADE,가상강의(보조강의)
컴퓨터프로그래밍 1,전공(기초),공과대학 전자공학과,"월16:00~18:00(공2401-A), 화10:00~12:00(공2474)",김대우,GRADE,가상강의(보조강의)
컴퓨터프로그래밍 1,전공(기초),공과대학 전자공학과,"수13:00~15:00(융합201), 목15:00~17:00(글로벌304)",염희균,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),공과대학 전자공학과,,안재혁,PASS/FAIL,가상강의(보조강의)
전기자기학1,전공(기초),공과대학 전자공학과,"월10:00~12:00(공2315), 수11:00~12:00(공2315)",김영담,GRADE,가상강의(보조강의)
전기자기학1,전공(기초),공과대학 전자공학과,"월13:00~15:00(공2315), 수10:00~11:00(공2315)",김영담,GRADE,가상강의(보조강의)
공학수학1,전공(기초),공과대학 전자공학과,"화10:00~11:00(공2401-A), 목16:00~18:00(공2315)",황동환,GRADE,가상강의(보조강의)
공학수학1,전공(기초),공과대학 전자공학과,"화10:00~11:00(공2315), 목16:00~18:00(공2328)",이가원,GRADE,가상강의(보조강의)
회로이론및실험1,전공(기초),공과대학 전자공학과,"월15:00~17:00(공2316), 화16:00~18:00(공2401-A)",김효원,GRADE,가상강의(보조강의)
확률및랜덤변수,전공(기초),공과대학 전자공학과,"화14:00~15:00(공2401-A), 수15:00~17:00(공2401-A)",김효원,GRADE,가상강의(보조강의)
확률및랜덤변수,전공(기초),공과대학 전자공학과,"화15:00~16:00(공2401-A), 수13:00~15:00(공2401-A)",김효원,GRADE,가상강의(보조강의)
디지털논리회로,전공(핵심),공과대학 전자공학과,"월10:00~12:00(공2328), 수11:00~12:00(공2328)",박준민,GRADE,가상강의(보조강의)
디지털논리회로,전공(핵심),공과대학 전자공학과,"월13:00~15:00(공2328), 수10:00~11:00(공2328)",박준민,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),공과대학 전자공학과,,안재혁,PASS/FAIL,가상강의(보조강의)
자동제어,전공(핵심),공과대학 전자공학과,"화15:00~17:00(공2328), 목10:00~11:00(공2401-A)",황동환,GRADE,가상강의(보조강의)
자동제어,전공(핵심),공과대학 전자공학과,"화15:00~17:00(공2315), 목10:00~11:00(공2315)",박준민,GRADE,가상강의(보조강의)
전자회로 1,전공(핵심),공과대학 전자공학과,"화10:00~11:00(공2327), 목14:00~16:00(공2327)",고형호,GRADE,가상강의(보조강의)
전자회로 1,전공(핵심),공과대학 전자공학과,"화10:00~11:00(공2328), 목14:00~16:00(공2328)",창동진,GRADE,가상강의(보조강의)
반도체소자,전공(핵심),공과대학 전자공학과,"월15:00~17:00(공2315), 화17:00~18:00(공2315)",이가원,GRADE,가상강의(보조강의)
반도체소자,전공(핵심),공과대학 전자공학과,"월15:00~17:00(공2328), 화17:00~18:00(공2328)",안재혁,GRADE,가상강의(보조강의)
통신공학,전공(핵심),공과대학 전자공학과,"화13:00~14:00(공2328), 수16:00~18:00(공2328)",장윤선,GRADE,가상강의(보조강의)
통신공학,전공(핵심),공과대학 전자공학과,"화14:00~15:00(공2328), 수13:00~15:00(공2328)",장윤선,GRADE,가상강의(보조강의)
마이크로파공학1,전공(핵심),공과대학 전자공학과,"화13:00~14:00(공2315), 수15:00~17:00(공2315)",김철영,GRADE,가상강의(보조강의)
마이크로파공학1,전공(핵심),공과대학 전자공학과,"화14:00~15:00(공2315), 수13:00~15:00(공2315)",김철영,GRADE,가상강의(보조강의)
디지털시스템설계,전공(핵심),공과대학 전자공학과,"월09:00~11:00(공2474), 금13:00~15:00(공2474)",유호영,GRADE,가상강의(보조강의)
디지털시스템설계,전공(핵심),공과대학 전자공학과,"월13:00~15:00(공2474), 금09:00~11:00(공2474)",유호영,GRADE,가상강의(보조강의)
미래설계상담7,전공(기초),공과대학 전자공학과,,안재혁,PASS/FAIL,가상강의(보조강의)
통신시스템,전공(심화),공과대학 전자공학과,"월15:00~17:00(공2327), 목17:00~18:00(공2327)",장윤선,GRADE,가상강의(보조강의)
아날로그집적회로,전공(심화),공과대학 전자공학과,"화16:00~18:00(공2327), 목10:00~11:00(공2327)",고형호,GRADE,가상강의(보조강의)
VLSI설계,전공(심화),공과대학 전자공학과,"수10:00~12:00(공2327), 목11:00~12:00(공2328)",창동진,GRADE,가상강의(보조강의)
안테나공학,전공(심화),공과대학 전자공학과,"화13:00~14:00(공2327), 수15:00~17:00(공2327)",김영담,GRADE,가상강의(보조강의)
캡스톤디자인1,전공(심화),공과대학 전자공학과,"월19:00~22:00(공2316), 화19:00~22:00(공2316)",안재혁,GRADE,가상강의(보조강의)
캡스톤디자인1,전공(심화),공과대학 전자공학과,"월19:00~22:00(공2374), 화19:00~22:00(공2374)",유호영,GRADE,가상강의(보조강의)
고급반도체소자,전공(심화),공과대학 전자공학과,"월13:00~14:00(공2401-A), 수13:00~15:00(공2327)",이가원,GRADE,가상강의(보조강의)
지능형시스템설계,전공(핵심),공과대학 전자공학과,"목13:00~15:00(공2474), 목15:00~17:00(공2474)",유호영,GRADE,가상강의(보조강의)
건축설계 1,전공(핵심),공과대학 건축학과 (5),"월14:00~16:00(공2103), 월16:00~19:00(공2103), 목14:00~15:00(공2103), 목15:00~18:00(공2103)",류주희,GRADE,가상강의(보조강의)
건축설계 1,전공(핵심),공과대학 건축학과 (5),"월14:00~16:00(공2107), 월16:00~19:00(공2107), 목14:00~15:00(공2107), 목15:00~18:00(공2107)",윤주선,GRADE,가상강의(보조강의)
건축설계 1,전공(핵심),공과대학 건축학과 (5),"월14:00~16:00(공2108), 월16:00~19:00(공2108), 목14:00~15:00(공2108), 목15:00~18:00(공2108)",윤선영,GRADE,가상강의(보조강의)
건축학개론,전공(핵심),공과대학 건축학과 (5),"화10:00~12:00(공2302), 수17:00~18:00(공2302)",권재현,GRADE,가상강의(보조강의)
대학생활과 진로설계,교양(소양필수),공과대학 건축학과 (5),화17:00~18:00(공2302),성우제,GRADE,가상강의(보조강의)
건축재료학,전공(핵심),공과대학 건축학과 (5),"수09:00~11:00(공2303), 금12:00~13:00(공2303)",이정원,GRADE,가상강의(보조강의)
표현기법,전공(심화),공과대학 건축학과 (5),"수14:00~18:00(공2303), 수15:00~18:00(공2303), 수16:00~18:00(공2303), 수17:00~18:00(공2303)",류주희,GRADE,가상강의(보조강의)
구조역학,전공(핵심),공과대학 건축학과 (5),"수11:00~12:00(공2303), 금10:00~12:00(공2303)",김상연,GRADE,가상강의(보조강의)
건축환경,전공(핵심),공과대학 건축학과 (5),"수18:00~19:00(공2303), 금16:00~18:00(공2303)",이창민,GRADE,가상강의(보조강의)
건축설계 3,전공(핵심),공과대학 건축학과 (5),,,GRADE,가상강의(보조강의)
건축설계 3,전공(핵심),공과대학 건축학과 (5),"월14:00~15:00(공2508), 월15:00~16:00(공2508), 월16:00~19:00(공2508), 목14:00~15:00(공2508), 목15:00~18:00(공2508)",조성범,GRADE,가상강의(보조강의)
건축설계 3,전공(핵심),공과대학 건축학과 (5),"월14:00~15:00(공2509), 월15:00~16:00(공2509), 월16:00~19:00(공2509), 목14:00~15:00(공2509), 목15:00~18:00(공2509)",이상현,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),공과대학 건축학과 (5),,성우제,PASS/FAIL,가상강의(보조강의)
건축계획학,전공(핵심),공과대학 건축학과 (5),"화14:00~16:00(공2302), 수13:00~14:00(공2302)",홍지학,GRADE,가상강의(보조강의)
주거론,전공(심화),공과대학 건축학과 (5),"월11:00~12:00(공2302), 금17:00~19:00(공2302)",김형진,GRADE,가상강의(보조강의)
보존과 재활용,전공(심화),공과대학 건축학과 (5),"월09:00~11:00(공2302), 화16:00~17:00(공2302)",이정수,GRADE,가상강의(보조강의)
건축설계 5,전공(핵심),공과대학 건축학과 (5),"월14:00~16:00(공2302), 월16:00~19:00(공2302), 목14:00~15:00(공2302), 목15:00~18:00(공2302)",이정수,GRADE,가상강의(보조강의)
건축설계 5,전공(핵심),공과대학 건축학과 (5),"월14:00~16:00(공2505), 월16:00~19:00(공2505), 목14:00~15:00(공2505), 목15:00~18:00(공2505)",홍지학,GRADE,가상강의(보조강의)
건축설계 5,전공(핵심),공과대학 건축학과 (5),"월14:00~16:00(공2506), 월16:00~19:00(공2506), 목14:00~15:00(공2506), 목15:00~18:00(공2506)",장원석,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),공과대학 건축학과 (5),,성우제,PASS/FAIL,가상강의(보조강의)
건축시공학,전공(핵심),공과대학 건축학과 (5),"월12:00~13:00(공2303), 금10:00~12:00(공2302)",이경륜,GRADE,가상강의(보조강의)
도시계획,전공(심화),공과대학 건축학과 (5),"화16:00~17:00(공2303), 금14:00~16:00(공2302)",윤주선,GRADE,가상강의(보조강의)
철골구조,전공(핵심),공과대학 건축학과 (5),"화14:00~16:00(공2303), 금12:00~13:00(공2302)",전제경,GRADE,가상강의(보조강의)
건축설계 7(캡스톤디자인1),전공(핵심),공과대학 건축학과 (5),"월14:00~16:00(공2501), 월16:00~19:00(공2501), 목14:00~15:00(공2501), 목15:00~18:00(공2501)",이정원,GRADE,가상강의(보조강의)
건축설계 7(캡스톤디자인1),전공(핵심),공과대학 건축학과 (5),"월14:00~16:00(공2502), 월16:00~19:00(공2502), 목14:00~15:00(공2502), 목15:00~18:00(공2502)",성우제,GRADE,가상강의(보조강의)
건축설계 7(캡스톤디자인1),전공(핵심),공과대학 건축학과 (5),"월14:00~16:00(공2503), 월16:00~19:00(공2503), 목14:00~15:00(공2503), 목15:00~18:00(공2503)",성태원,GRADE,가상강의(보조강의)
미래설계상담7,전공(기초),공과대학 건축학과 (5),,성우제,PASS/FAIL,가상강의(보조강의)
건축관련 법제도,전공(핵심),공과대학 건축학과 (5),"월10:00~12:00(공2303), 수11:00~12:00(공2302)",이양재,GRADE,가상강의(보조강의)
건물시스템통합,전공(핵심),공과대학 건축학과 (5),"수09:00~11:00(공2302), 금16:00~17:00(공2302)",최준성,GRADE,가상강의(보조강의)
건축설계9 (건축종합설계1),전공(핵심),공과대학 건축학과 (5),"화08:00~14:00(공2301-1), 화12:00~14:00(공2301-1), 목08:00~14:00(공2301-1)",이정원,GRADE,가상강의(보조강의)
건축설계9 (건축종합설계1),전공(핵심),공과대학 건축학과 (5),"화08:00~14:00(공2301-2), 화12:00~14:00(공2301-2), 목08:00~14:00(공2301-2)",홍지학,GRADE,가상강의(보조강의)
건축설계9 (건축종합설계1),전공(핵심),공과대학 건축학과 (5),"화08:00~14:00(공2304-1), 목08:00~14:00(공2304-1), 목10:00~14:00(공2304-1)",성우제,GRADE,가상강의(보조강의)
건축과 사회,교양(균형),공과대학 건축공학과,"월13:30~15:00(공2205), 수12:00~13:30(공2205)",박선아,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),공과대학 토목공학과,,고준영,PASS/FAIL,가상강의(보조강의)
창의설계입문,전공(핵심),공과대학 토목공학과,금09:00~12:00(공2228),배현웅,GRADE,가상강의(보조강의)
공학지질학,전공(핵심),공과대학 토목공학과,"월14:00~16:00(공2228), 화14:00~15:00(공2229)",고준영,GRADE,가상강의(보조강의)
컴퓨터프로그래밍 1,전공(핵심),공과대학 토목공학과,"월09:00~11:00(공2235), 월11:00~13:00(공2235)",민근형,GRADE,가상강의(보조강의)
컴퓨터프로그래밍 1,전공(핵심),공과대학 토목공학과,"화09:00~11:00(공2235), 화11:00~13:00(공2235)",민근형,GRADE,가상강의(보조강의)
공학수학1,전공(기초),공과대학 토목공학과,"월16:00~17:00(공2229), 금13:00~15:00(공2229)",위희정,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),공과대학 토목공학과,,고준영,PASS/FAIL,가상강의(보조강의)
유체역학,전공(핵심),공과대학 토목공학과,"월11:00~12:00(공2229), 수15:00~17:00(공2229)",손민우,GRADE,가상강의(보조강의)
건설CAD및설계,전공(심화),공과대학 토목공학과,"목13:00~14:00(공2235), 목14:00~18:00(공2235)",이민재,GRADE,가상강의(보조강의)
건설재료학,전공(핵심),공과대학 토목공학과,"화13:00~15:00(공2127), 수14:00~15:00(공2127)",신경준,GRADE,가상강의(보조강의)
재료역학,전공(핵심),공과대학 토목공학과,"월13:00~15:00(공2127), 수13:00~14:00(공2127)",신경준,GRADE,가상강의(보조강의)
응용측량학,전공(핵심),공과대학 토목공학과,"월09:00~10:00(공2229), 수09:00~11:00(공2229)",윤희천,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),공과대학 토목공학과,,고준영,PASS/FAIL,가상강의(보조강의)
토질역학(2),전공(심화),공과대학 토목공학과,"수14:00~15:00(공2228), 목10:00~12:00(공2228)",박형춘,GRADE,가상강의(보조강의)
사진측량학,전공(심화),공과대학 토목공학과,"월10:00~11:00(공2229), 화09:00~11:00(공2229)",윤희천,GRADE,가상강의(보조강의)
철근콘크리트공학1,전공(핵심),공과대학 토목공학과,"월09:00~10:00(공2228), 월11:00~12:00(공2228), 화11:00~12:00(공2228)",김윤용,GRADE,가상강의(보조강의)
재료및콘크리트실험,전공(심화),공과대학 토목공학과,"수09:00~10:00(공2127), 수10:00~14:00(공2118)",김윤용,GRADE,가상강의(보조강의)
수리실험,전공(심화),공과대학 토목공학과,"목13:00~14:00(공2127), 목14:00~18:00(공2131)",전상훈,GRADE,가상강의(보조강의)
구조역학2,전공(심화),공과대학 토목공학과,"화15:00~17:00(공2127), 수15:00~16:00(공2127)",김우석,GRADE,가상강의(보조강의)
상하수도공학,전공(심화),공과대학 토목공학과,"화13:00~15:00(공2228), 수17:00~18:00(공2228)",전상훈,GRADE,가상강의(보조강의)
토질실험,전공(심화),공과대학 토목공학과,월13:00~19:00(공2226),박형춘,GRADE,가상강의(보조강의)
미래설계상담7,전공(기초),공과대학 토목공학과,,고준영,PASS/FAIL,가상강의(보조강의)
교량공학 및 설계,전공(심화),공과대학 토목공학과,"화14:00~15:00(공2235), 수16:00~18:00(공2235)",김우석,GRADE,가상강의(보조강의)
기초공학 이론 및 설계,전공(심화),공과대학 토목공학과,"화10:00~12:00(공2127), 수10:00~11:00(공2127)",고준영,GRADE,가상강의(보조강의)
건설적산 및 공정설계,전공(심화),공과대학 토목공학과,"월14:00~16:00(공2229), 수11:00~12:00(공2229)",이민재,GRADE,가상강의(보조강의)
수자원공학및설계,전공(심화),공과대학 토목공학과,화15:00~18:00(공2228),손민우,GRADE,가상강의(보조강의)
철도및궤도공학,전공(심화),공과대학 토목공학과,금13:00~16:00(공2228),배현웅,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),공과대학 전기공학과,,윤익재,PASS/FAIL,가상강의(보조강의)
컴퓨터프로그래밍 1,전공(핵심),공과대학 전기공학과,"화09:00~11:00(산학연0210), 화11:00~13:00(산학연0210)",백용선,GRADE,가상강의(보조강의)
컴퓨터프로그래밍 1,전공(핵심),공과대학 전기공학과,"목09:00~11:00(산학연0210), 목11:00~13:00(산학연0210)",백용선,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),공과대학 전기공학과,,윤익재,PASS/FAIL,가상강의(보조강의)
전기물성,전공(핵심),공과대학 전기공학과,"월10:00~12:00(공2266), 화13:00~14:00(공2266)",나정효,GRADE,가상강의(보조강의)
공업수학1,전공(심화),공과대학 전기공학과,"화14:00~16:00(공2266), 목13:00~14:00(공2266)",천관호,GRADE,가상강의(보조강의)
전자기학 1,전공(핵심),공과대학 전기공학과,"월09:00~10:00(공2266), 수13:00~15:00(공2266)",윤익재,GRADE,가상강의(보조강의)
전기회로1,전공(핵심),공과대학 전기공학과,"월17:00~19:00(공2266), 화16:00~17:00(공2266)",김종훈,GRADE,가상강의(보조강의)
디지털시스템,전공(심화),공과대학 전기공학과,"수10:00~12:00(공2266), 목14:00~15:00(공2266)",이욱진,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),공과대학 전기공학과,,윤익재,PASS/FAIL,가상강의(보조강의)
수치해석,전공(심화),공과대학 전기공학과,"목16:00~17:00(공2266), 금10:00~12:00(공2266)",이미영,GRADE,가상강의(보조강의)
기기.전력전자실험,전공(심화),공과대학 전기공학과,월13:00~17:00(공2170),차한주,GRADE,가상강의(보조강의)
전자에너지변환,전공(핵심),공과대학 전기공학과,"수16:00~18:00(공2266), 목17:00~18:00(공2266)",최장영,GRADE,가상강의(보조강의)
제어공학개론,전공(핵심),공과대학 전기공학과,"화17:00~18:00(공2266), 목10:00~12:00(공2266)",천관호,GRADE,가상강의(보조강의)
전자회로2,전공(심화),공과대학 전기공학과,"화13:00~14:00(공2133), 수09:00~11:00(공2133)",차한주,GRADE,가상강의(보조강의)
전기설비이론및설계,전공(심화),공과대학 전기공학과,화09:00~12:00(공2266),나정효,GRADE,가상강의(보조강의)
센서와계측공학,전공(심화),공과대학 전기공학과,월09:00~12:00(공2133),차한주,GRADE,가상강의(보조강의)
센서와계측공학,전공(심화),공과대학 전기공학과,금13:00~16:00(공2133),서정진,GRADE,가상강의(보조강의)
미래설계상담7,전공(기초),공과대학 전기공학과,,윤익재,PASS/FAIL,가상강의(보조강의)
신호해석,전공(심화),공과대학 전기공학과,"월09:00~11:00(공2137), 수09:00~10:00(공2137)",김종훈,GRADE,가상강의(보조강의)
신교통전기,전공(심화),공과대학 전기공학과,"화10:00~12:00(공2133), 수11:00~12:00(공2133)",윤익재,GRADE,가상강의(보조강의)
Capstone Design 1,전공(심화),공과대학 전기공학과,월13:00~16:00(공2266),윤익재,GRADE,가상강의(보조강의)
신재생에너지공학,전공(심화),공과대학 전기공학과,"월17:00~18:00(공2133), 목14:00~16:00(공2133)",최장영,GRADE,가상강의(보조강의)
전력시스템2,전공(심화),공과대학 전기공학과,,,GRADE,가상강의(보조강의)
전동기제어공학,전공(심화),공과대학 전기공학과,"화14:00~15:00(공2133), 목10:00~12:00(공2133)",이욱진,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),공과대학 전파정보통신공학과,,김병관,PASS/FAIL,가상강의(보조강의)
전기자기학1,전공(핵심),공과대학 전파정보통신공학과,"화14:00~16:00(공2435), 수14:00~15:00(공2435)",이재현,GRADE,가상강의(보조강의)
전기자기학1,전공(핵심),공과대학 전파정보통신공학과,"월14:00~16:00(공3306), 수15:00~16:00(공3306)",은창수,GRADE,가상강의(보조강의)
물리전자,전공(핵심),공과대학 전파정보통신공학과,"월10:00~12:00(공2435), 목13:00~14:00(공2435)",김동욱,GRADE,가상강의(보조강의)
공학수학1,전공(핵심),공과대학 전파정보통신공학과,"월14:00~16:00(공2435), 화16:00~17:00(공2435)",김병관,GRADE,가상강의(보조강의)
공학수학1,전공(핵심),공과대학 전파정보통신공학과,"화10:00~12:00(공3507), 수11:00~12:00(공3507)",김병철,GRADE,가상강의(보조강의)
논리회로,전공(핵심),공과대학 전파정보통신공학과,"화13:00~14:00(공2435), 수09:00~11:00(공2435)",우종명,GRADE,가상강의(보조강의)
논리회로,전공(핵심),공과대학 전파정보통신공학과,"화14:00~16:00(공3507), 수14:00~15:00(공3507)",오왕록,GRADE,가상강의(보조강의)
회로이론 1,전공(핵심),공과대학 전파정보통신공학과,"화10:00~12:00(공2435), 수15:00~16:00(공2435)",우종명,GRADE,가상강의(보조강의)
회로이론 1,전공(핵심),공과대학 전파정보통신공학과,"월16:00~18:00(공3507), 수10:00~11:00(공3507)",이재용,GRADE,가상강의(보조강의)
자료구조및실습,전공(핵심),공과대학 전파정보통신공학과,"화16:00~18:00(공3520), 수16:00~18:00(공3520)",권영미,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),공과대학 전파정보통신공학과,,김병관,PASS/FAIL,가상강의(보조강의)
전자회로 1,전공(심화),공과대학 전파정보통신공학과,"월10:00~12:00(공2434-1), 수13:00~14:00(공2434-1)",조영균,GRADE,가상강의(보조강의)
전자회로 1,전공(심화),공과대학 전파정보통신공학과,"화10:00~12:00(공3506), 수16:00~17:00(공3506)",은창수,GRADE,가상강의(보조강의)
통신이론,전공(심화),공과대학 전파정보통신공학과,"화10:00~12:00(공2434-1), 수10:00~11:00(공2434-1)",홍성용,GRADE,가상강의(보조강의)
통신이론,전공(심화),공과대학 전파정보통신공학과,"월16:00~18:00(공3506), 목16:00~17:00(공3401)",안재민,GRADE,가상강의(보조강의)
전자파이론,전공(심화),공과대학 전파정보통신공학과,"화16:00~17:00(공2434-1), 수15:00~17:00(공2434-1)",이재현,GRADE,가상강의(보조강의)
데이터 통신,전공(심화),공과대학 전파정보통신공학과,"월10:00~11:00(공3401), 화16:00~18:00(공3401)",이재용,GRADE,가상강의(보조강의)
컴퓨터구조,전공(심화),공과대학 전파정보통신공학과,"수10:00~11:00(공3401), 목14:00~16:00(공3401)",김민석,GRADE,가상강의(보조강의)
전자회로 설계,전공(심화),공과대학 전파정보통신공학과,목14:00~20:00(공2402),김동욱,GRADE,가상강의(보조강의)
전자회로실험,전공(심화),공과대학 전파정보통신공학과,"월19:00~20:00(공2331), 월14:00~19:00(공2331)",이용우,GRADE,가상강의(보조강의)
운영체제,전공(심화),공과대학 전파정보통신공학과,"월14:00~16:00(공3507), 수14:00~15:00(공3506)",이공주,GRADE,가상강의(보조강의)
확률및랜덤프로세스,전공(심화),공과대학 전파정보통신공학과,"화14:00~16:00(공3506), 수17:00~18:00(공3506)",성태경,GRADE,가상강의(보조강의)
미래설계상담7,전공(기초),공과대학 전파정보통신공학과,,김병관,PASS/FAIL,가상강의(보조강의)
통신시스템,전공(심화),공과대학 전파정보통신공학과,"월15:00~16:00(공3304), 목14:00~16:00(공3506)",안재민,GRADE,가상강의(보조강의)
차세대 네트워크,전공(심화),공과대학 전파정보통신공학과,"월10:00~11:00(공3507), 화16:00~18:00(공3507)",김병철,GRADE,가상강의(보조강의)
정보통신특강,전공(심화),공과대학 전파정보통신공학과,수09:00~12:00(공3506),성태경,GRADE,가상강의(보조강의)
무선통신시스템,전공(심화),공과대학 전파정보통신공학과,"월16:00~17:00(공2434-1), 목16:00~18:00(공2434-1)",김병관,GRADE,가상강의(보조강의)
마이크로파회로설계2,전공(심화),공과대학 전파정보통신공학과,화13:00~19:00(공2402),홍성용,GRADE,가상강의(보조강의)
안테나공학,전공(심화),공과대학 전파정보통신공학과,"화09:00~10:00(공2434-1), 수11:00~13:00(공2434-1)",우종명,GRADE,가상강의(보조강의)
전파융합캡스톤디자인1,전공(심화),공과대학 전파정보통신공학과,"월19:00~22:00(공2435), 목20:00~23:00(공2435)",김동욱,GRADE,가상강의(보조강의)
통신시스템캡스톤디자인1,전공(심화),공과대학 전파정보통신공학과,"월19:00~22:00(공3520), 화19:00~22:00(공3520)",성태경,GRADE,가상강의(보조강의)
DB및네트워크프로그래밍,전공(심화),공과대학 전파정보통신공학과,"월16:00~18:00(공3520), 화14:00~16:00(공3520)",권영미,GRADE,가상강의(보조강의)
셀룰라통신,전공(심화),공과대학 전파정보통신공학과,"화10:00~12:00(공3401), 수15:00~16:00(공3507)",오왕록,GRADE,가상강의(보조강의)
아날로그반도체회로,전공(심화),공과대학 전파정보통신공학과,"월14:00~16:00(공2434-1), 수14:00~15:00(공2434-1)",조영균,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),공과대학 신소재공학과,,한준현,PASS/FAIL,가상강의(보조강의)
재료기초물리학1,전공(기초),공과대학 신소재공학과,"월13:30~15:00(공1301), 수13:30~15:00(공1301)",김효진,GRADE,가상강의(보조강의)
재료기초물리학1,전공(기초),공과대학 신소재공학과,"월13:30~15:00(공1157), 수13:30~15:00(공1157)",정종율,GRADE,가상강의(보조강의)
재료공학입문1,전공(기초),공과대학 신소재공학과,"월10:30~12:00(공1301), 화10:30~12:00(공1301)",최지훈,GRADE,가상강의(보조강의)
재료공학입문1,전공(기초),공과대학 신소재공학과,"월10:30~12:00(공1157), 화10:30~12:00(공1157)",김상준,GRADE,가상강의(보조강의)
대학생활과 진로설계,교양(소양필수),공과대학 신소재공학과,수15:00~16:00(공1301),한준현,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),공과대학 신소재공학과,,한준현,PASS/FAIL,가상강의(보조강의)
